maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
27,15,0.0,11.6,5,5,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,12,19,19,19,23,6,62,0.0,1017,19,10,99,12
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,13,19,19,19,20,4,68,0.0,1017,18,10,92,11
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,14,19,19,19,16,2,74,0.0,1018,17,10,84,9
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,18,18,18,12,0,80,0.0,1018,16,10,77,8
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,15,17,17,17,14,6,85,0.0,1018,16,7,84,8
27,15,0.0,11.6,5,1,60,11:15 PM,10:38 AM,06:46 AM,06:13 PM,14,16,16,16,15,13,90,0.0,1018,15,5,91,8
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,15,15,15,17,19,94,0.0,1018,15,2,98,9
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,15,15,15,16,22,95,0.0,1018,14,2,85,8
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,14,14,14,15,24,96,0.0,1017,14,2,73,7
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,13,14,14,14,14,27,97,0.0,1017,13,2,60,7
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,16,16,16,12,18,88,0.0,1018,15,5,67,7
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,18,18,18,11,9,80,0.0,1018,16,7,74,8
27,13,0.0,11.6,4,5,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,15,20,20,20,9,0,71,0.0,1019,18,10,82,8
27,13,0.0,11.6,4,6,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,22,22,22,11,1,60,0.0,1018,20,10,85,10
27,13,0.0,11.6,4,6,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,12,24,24,24,14,2,49,0.0,1018,23,10,89,12
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,11,26,26,26,16,3,38,0.0,1017,26,10,92,14
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,10,26,26,26,18,4,36,0.0,1016,26,10,95,16
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,10,26,26,27,21,4,34,0.0,1015,27,10,97,18
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,10,27,27,27,24,5,33,0.0,1014,27,10,100,21
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,11,26,26,26,20,7,38,0.0,1014,26,10,99,17
27,13,0.0,11.6,4,7,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,12,26,26,25,16,10,43,0.0,1014,25,10,99,13
27,13,0.0,11.6,4,6,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,13,25,25,24,13,13,48,0.0,1014,24,10,98,9
27,13,0.0,11.6,4,6,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,13,23,23,23,16,14,55,0.0,1014,22,10,99,10
27,13,0.0,11.6,4,6,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,13,21,22,21,19,16,61,0.0,1015,21,10,101,11
27,13,0.0,11.6,4,5,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,20,20,20,22,17,68,0.0,1016,19,10,102,12
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,19,19,19,20,13,73,0.0,1016,19,10,100,11
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,18,18,18,18,8,78,0.0,1016,18,10,97,10
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,15,18,18,18,16,3,83,0.0,1016,17,10,95,10
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,15,17,17,17,16,6,85,0.0,1016,16,10,99,9
27,13,0.0,11.6,4,1,53,No moonrise,11:17 AM,06:46 AM,06:13 PM,14,16,16,16,16,8,88,0.0,1016,16,10,103,9
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,14,16,16,16,16,10,91,0.0,1015,15,10,107,9
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,14,15,15,15,15,9,93,0.0,1015,14,7,89,8
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,14,15,15,15,13,7,94,0.0,1016,13,5,72,7
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,14,14,14,12,6,95,0.0,1016,13,2,54,6
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,16,16,16,10,4,84,0.0,1016,14,5,61,6
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,18,18,18,9,2,73,0.0,1017,16,7,69,6
27,13,0.0,11.6,5,5,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,21,21,21,7,0,62,0.0,1018,17,10,76,6
27,13,0.0,11.6,5,5,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,11,23,23,23,8,0,51,0.0,1017,20,10,80,7
27,13,0.0,11.6,5,6,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,9,25,25,25,8,0,39,0.0,1017,22,10,84,7
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,8,27,27,28,8,0,28,0.0,1016,25,10,88,7
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,8,27,27,28,10,1,28,0.0,1015,26,10,92,9
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,7,27,27,28,12,2,27,0.0,1014,27,10,96,10
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,7,27,27,28,13,2,27,0.0,1013,27,10,100,12
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,9,26,26,27,13,7,32,0.0,1013,26,10,100,11
27,13,0.0,11.6,5,7,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,10,26,26,26,13,11,37,0.0,1013,25,10,99,10
27,13,0.0,11.6,5,6,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,11,25,25,24,14,15,43,0.0,1013,24,10,99,9
27,13,0.0,11.6,5,6,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,11,23,23,23,15,18,50,0.0,1014,22,10,96,10
27,13,0.0,11.6,5,6,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,12,21,21,21,17,21,57,0.0,1015,21,10,93,10
27,13,0.0,11.6,5,5,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,12,19,19,19,19,24,64,0.0,1016,19,10,89,10
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,19,19,19,19,20,67,0.0,1016,19,10,84,11
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,13,19,19,19,19,16,70,0.0,1016,18,10,78,11
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,14,19,19,19,19,12,73,0.0,1016,18,10,73,12
27,13,0.0,11.6,5,1,46,12:05 AM,11:57 AM,06:46 AM,06:14 PM,14,18,18,18,18,9,78,0.0,1016,17,10,79,11
